TIMESTAMP,DD,HH,MM,SS,MS,US,CODE
235123332120660,27,5,7,13,321,206,0x0301
235123432369473,27,5,7,14,323,694,0x0401
235123441795695,27,5,7,14,417,956,0x0102
235127962462850,27,5,7,59,624,628,0x0401
235127974421706,27,5,7,59,744,217,0x0401
235134887707749,27,5,9,8,877,77,0x0401
235202291148629,27,5,20,22,911,486,0x0401
235202303414452,27,5,20,23,34,144,0x0401
235223993523609,27,5,23,59,935,236,0x0401
235300286413231,27,5,36,42,864,132,0x0401
235300298833890,27,5,36,42,988,338,0x0401
235349260384157,27,5,44,52,603,841,0x0301
235349362358979,27,5,44,53,623,589,0x0401
235354466036123,27,5,45,44,660,361,0x0401
235354473350808,27,5,45,44,733,508,0x0401
235354485270108,27,5,45,44,852,701,0x0401
235356742452521,27,5,46,7,424,525,0x0301
235356744540564,27,5,46,7,445,405,0x0401
235371544024072,27,5,48,35,440,240,0x0103
235371553450278,27,5,48,35,534,502,0x0102
235376254360635,27,5,49,22,543,606,0x0301
235376254378117,27,5,49,22,543,781,0x0301
235376357447034,27,5,49,23,574,470,0x0401
235376366873273,27,5,49,23,668,732,0x0102
235380837199800,27,5,50,8,371,998,0x0401
235380849115093,27,5,50,8,491,150,0x0401
235401092245228,27,5,53,30,922,452,0x0301
235401192563423,27,5,53,31,925,634,0x0401
235412836935049,27,5,55,28,369,350,0x0103
235412846361257,27,5,55,28,463,612,0x0102
235417233722216,27,5,56,12,337,222,0x0401
235417245601229,27,5,56,12,456,12,0x0401
235423947011966,27,5,57,19,470,119,0x0401
235425111111454,27,5,57,31,111,114,0x0401
235425123394289,27,5,57,31,233,942,0x0401
235448481700119,27,6,1,24,817,1,0x0401
235450907473943,27,6,1,49,74,739,0x0103
235450916900126,27,6,1,49,169,1,0x0102
235453673553188,27,6,2,16,735,531,0x0103
235453682980037,27,6,2,16,829,800,0x0102
235457120373853,27,6,2,51,203,738,0x0401
235457132592103,27,6,2,51,325,921,0x0401
235500739314398,27,6,10,7,393,143,0x0401
235567555543537,27,6,21,15,555,435,0x0401
235567567647058,27,6,21,15,676,470,0x0401
235596545711858,27,6,26,5,457,118,0x0401
235601541994812,27,6,26,55,419,948,0x0401
235601554048365,27,6,26,55,540,483,0x0401
235636048278178,27,6,32,40,482,781,0x0401
235650151683731,27,6,35,1,516,837,0x0103
235650161109910,27,6,35,1,611,99,0x0102
235842403481822,27,7,7,4,34,818,0x0401
235842415839241,27,7,7,4,158,392,0x0401
235845389417112,27,7,7,33,894,171,0x0101
235845398843295,27,7,7,33,988,432,0x0102
235845404783536,27,7,7,34,47,835,0x0101
235845414209745,27,7,7,34,142,97,0x0102
235845420183589,27,7,7,34,201,835,0x0101
235845429609817,27,7,7,34,296,98,0x0102
235845435609686,27,7,7,34,356,96,0x0101
235845445035909,27,7,7,34,450,359,0x0102
235849826837659,27,7,8,18,268,376,0x0401
235849838681296,27,7,8,18,386,812,0x0401
235854502367853,27,7,9,5,23,678,0x0401
235855109989878,27,7,9,11,99,898,0x0401
235855121872685,27,7,9,11,218,726,0x0401
235859762258842,27,7,9,57,622,588,0x0401
235860369802142,27,7,10,3,698,21,0x0401
235860381728113,27,7,10,3,817,281,0x0401
235864910810275,27,7,10,49,108,102,0x0401
235865518589247,27,7,10,55,185,892,0x0401
235865530489925,27,7,10,55,304,899,0x0401
235867960270972,27,7,11,19,602,709,0x0401
235870606516065,27,7,11,46,65,160,0x0401
235870628537415,27,7,11,46,285,374,0x0401
235871176080965,27,7,11,51,760,809,0x0401
235874262368914,27,7,12,22,623,689,0x0401
235874284372130,27,7,12,22,843,721,0x0401
235875424338172,27,7,12,34,243,381,0x0401
235880171769073,27,7,13,21,717,690,0x0401
235880183688171,27,7,13,21,836,881,0x0401
235882821236819,27,7,13,48,212,368,0x0401
235884380261625,27,7,14,3,802,616,0x0401
235884404884413,27,7,14,4,48,844,0x0401
235886601739365,27,7,14,26,17,393,0x0401
235886679194603,27,7,14,26,791,946,0x0401
235886703948593,27,7,14,27,39,485,0x0401
235886943809128,27,7,14,29,438,91,0x0401
235887529712126,27,7,14,35,297,121,0x0301
235887529728881,27,7,14,35,297,288,0x0301
235887630818461,27,7,14,36,308,184,0x0401
235887640244698,27,7,14,36,402,446,0x0102
235892211069878,27,7,15,22,110,698,0x0401
235892222977757,27,7,15,22,229,777,0x0401
235900131282272,27,7,16,41,312,822,0x0401
235902409010794,27,7,17,4,90,107,0x0103
235902418436704,27,7,17,4,184,367,0x0102
235911245060987,27,7,18,32,450,609,0x0401
235911257117056,27,7,18,32,571,170,0x0401
235955913074250,27,7,25,59,130,742,0x0401
235961534795123,27,7,26,55,347,951,0x0401
235961547287062,27,7,26,55,472,870,0x0401
235975914349220,27,7,29,19,143,492,0x0401
235986437341876,27,7,31,4,373,418,0x0103
235986446768736,27,7,31,4,467,687,0x0102
235999989829139,27,7,33,19,898,291,0x0401
236000002043335,27,7,33,20,20,433,0x0401
241768742950050,27,23,34,47,429,500,0x0401
241770118295431,27,23,35,1,182,954,0x0103
241770127721335,27,23,35,1,277,213,0x0102
241771359979447,27,23,35,13,599,794,0x0401
241771383609248,27,23,35,13,836,92,0x0401
241832289959147,27,23,45,22,899,591,0x0401
241832918034189,27,23,45,29,180,341,0x0401
241832930195228,27,23,45,29,301,952,0x0401
241852191246979,27,23,48,41,912,469,0x0401
241978674655969,28,0,9,46,746,559,0x0401
241978686845091,28,0,9,46,868,450,0x0401
241985900102452,28,0,10,59,1,24,0x0401
242024243497511,28,0,17,22,434,975,0x0401
242024256099884,28,0,17,22,560,998,0x0401
242047504199318,28,0,21,15,41,993,0x0401
242091158971168,28,0,28,31,589,711,0x0301
242091158989253,28,0,28,31,589,892,0x0301
242091259584168,28,0,28,32,595,841,0x0401
242091674445505,28,0,28,36,744,455,0x0102
242096235853605,28,0,29,22,358,536,0x0401
242096247712395,28,0,29,22,477,123,0x0401
242103005758041,28,0,30,30,57,580,0x0401
242165786072561,28,0,40,57,860,725,0x0301
242165786083240,28,0,40,57,860,832,0x0301
242165886929806,28,0,40,58,869,298,0x0401
242165896355705,28,0,40,58,963,557,0x0102
242169674227616,28,0,41,36,742,276,0x0401
242169686142263,28,0,41,36,861,422,0x0401
242176047112718,28,0,42,40,471,127,0x0401
242199517524925,28,0,46,35,175,249,0x0401
242199529702943,28,0,46,35,297,29,0x0401
242206581172167,28,0,47,45,811,721,0x0301
